Brand,interior,luxury,performance,power,price
acura,1.149388161235152,1.0506379497987062,1.0684548899596564,1.2342572483761116,1.0858621347156114
audi,1.3456908143922235,1.050858581794088,1.0993966487260523,1.5183284959143293,1.2229157647066837
bmw,0.9189335483705727,0.8995145223636573,1.064660314509879,1.1520507472953925,1.196068022194491
cadillac,1.5731896224494284,1.1865646053717425,1.0920329529309174,1.0322636334223474,1.2330224665510876
chrysler,0.9821161185134499,1.3121048914196247,1.2330304262083693,1.9438513601068548,1.4735131346009165
honda,1.2091488558543244,1.2643461356142565,1.1575724823809557,1.4549704881971623,1.2064334327941861
infiniti,0.8261299483184827,0.7348763065717933,0.812316753814105,0.9116500250508721,0.8461101507449661
lexus,0.8978266561927205,0.8797012839852902,0.9325152040372612,1.0249994058370566,0.9802368329536342
nissan,0.9697851261040672,1.029216648212657,1.0468068376992423,1.5161771997406461,0.9653235611515912
toyota,1.103312415654521,1.6698830926874708,1.2187927780057446,1.0271385350318472,1.1983680456490728
